,0
0,bittergourd
1,salt
2,onion
3,flour
4,turmeric
5,cumin
6,coriander
7,mango
8,sunflower
9,sunfloweroil
10,drymangopowder
11,rice
12,tomato
13,salt
14,chickpea
15,lentils
16,cumin
17,tea
18,mustard
19,peanut
20,rice
21,onion
22,carrot
23,peas
24,asafoetida
25,mustard
26,ghee
27,salt
28,lemon
29,chicken
30,onion
31,tomato
32,ginger
33,clove
34,garlic
35,turmeric
36,garammasala
37,sesame
38,salt
39,fenugreek
40,coriander
41,fennel
42,sorrel
43,coriander
44,corianderseed
45,ginger
46,onion
47,tomato
48,hops
49,salt
50,tea
51,mustard
52,asafoetida
53,rice
54,mint
55,coriander
56,ginger
57,cumin
58,water
59,sunflower
60,salt
61,sunfloweroil
62,ghee
63,cashewnut
64,corn
65,pepper
66,asafoetida
67,ashgourd
68,pumpkin
69,turmeric
70,salt
71,sunflower
72,sunfloweroil
73,coconut
74,tamarind
75,water
76,fenugreek
77,cumin
78,coriander
79,sesame
80,mustard
81,tortilla
82,beans
83,spinach
84,onion
85,tomato
86,clove
87,garlic
88,coriander
89,rice
90,brownrice
91,lemon
92,lemonjuice
93,cheese
94,cheddarcheese
95,pepper
96,capsicum
97,tomato
98,onion
99,turmeric
100,coriander
101,ketchup
102,mint
103,sunflower
104,salt
105,sunfloweroil
106,cabbage
107,bagel
108,tomato
109,tamarind
110,salt
111,tea
112,asafoetida
113,clove
114,garlic
115,turmeric
116,rye
117,cumin
118,beans
119,olive
120,onion
121,clove
122,garlic
123,tomato
124,honey
125,cumin
126,oregano
127,cayenne
128,pepper
129,salt
130,jalapeno
131,cheese
132,potato
133,onion
134,salt
135,stew
136,egg
137,wheat
138,bread
139,clove
140,garlic
141,tomato
142,tomatopuree
143,pepper
144,capsicum
145,cumin
146,oregano
147,honey
148,sunflower
149,wholewheatbread
150,tamarind
151,water
152,asafoetida
153,salt
154,mustard
155,cumin
156,fenugreek
157,sunflower
158,sunfloweroil
159,emu
160,fish
161,tea
162,tomato
163,ginger
164,cumin
165,coriander
166,salt
167,turmeric
168,mustard
169,emu
170,mustardoil
171,water
172,sugar
173,potato
174,fennel
175,turmeric
176,cream
177,milk
178,coriander
179,onion
180,cumin
181,tamarind
182,salt
183,rye
184,egg
185,cinnamon
186,clove
187,sunflower
188,sunfloweroil
189,coriander
190,garammasala
191,cream
192,mint
193,onion
194,ginger
195,agar
196,cucumber
197,coriander
198,cumin
199,salt
200,potato
201,garlic
202,onion
203,oregano
204,coriander
205,flour
206,rice
207,salt
208,sunflower
209,sunfloweroil
210,rice
211,water
212,onion
213,clove
214,garlic
215,ginger
216,turmeric
217,carrot
218,beans
219,greenbeans
220,potato
221,ghee
222,cinnamon
223,fennel
224,pepper
225,coriander
226,corianderseed
227,peas
228,tea
229,mint
230,onion
231,garlic
232,mint
233,coriander
234,salt
235,rye
236,flour
237,wheat
238,rice
239,cucumber
240,turmeric
241,cumin
242,coriander
243,clove
244,garlic
245,salt
246,ghee
247,bread
248,beetroot
249,clove
250,garlic
251,yogurt
252,coriander
253,tomato
254,onion
255,salt
256,pepper
257,coconut
258,mustard
259,coconutoil
260,turmeric
261,salt
262,water
263,stew
264,mango
265,yogurt
266,sugar
267,honey
268,saffron
269,almond
270,milk
271,rice
272,coconut
273,cardamom
274,salt
275,water
276,stew
277,cardamom
278,corn
279,pepper
280,cinnamon
281,clove
282,mace
283,fenugreek
284,turmeric
285,coriander
286,garammasala
287,cashewnut
288,onion
289,tomato
290,ginger
291,sugar
292,cream
293,sunflower
294,agar
295,butter
296,garlic
297,spinach
298,pepper
299,capsicum
300,tomato
301,onion
302,cream
303,cheese
304,cheddarcheese
305,salt
306,pasta
307,wheat
308,flour
309,caromseed
310,cumin
311,ghee
312,salt
313,sunflower
314,sunfloweroil
315,turmeric
316,garammasala
317,mango
318,sugar
319,asafoetida
320,tamarind
321,coriander
322,mint
323,onion
324,pomegranate
325,drymangopowder
326,beans
327,greenbeans
328,clove
329,garlic
330,lemon
331,rice
332,vinegar
333,peanut
334,salt
335,sesame
336,lemonjuice
337,sunflower
338,sunfloweroil
339,flour
340,water
341,bakingpowder
342,honey
343,sugar
344,sesame
345,vanilla
346,cabbage
347,spinach
348,pomegranate
349,lemon
350,lemonjuice
351,olive
352,salt
353,pepper
354,flour
355,ghee
356,sunflower
357,salt
358,sunfloweroil
359,cumin
360,cinnamon
361,garammasala
362,mango
363,peas
364,tea
365,drymangopowder
